Date,Course,RaceNumber
25/06/2014,ST,7
25/06/2014,ST,8
28/06/2014,ST,1
28/06/2014,ST,2
28/06/2014,ST,3
28/06/2014,ST,4
28/06/2014,ST,5
28/06/2014,ST,6
28/06/2014,ST,7
28/06/2014,ST,8
28/06/2014,ST,9
28/06/2014,ST,10
01/07/2014,ST,1
01/07/2014,ST,2
01/07/2014,ST,3
01/07/2014,ST,4
01/07/2014,ST,5
01/07/2014,ST,6
01/07/2014,ST,7
01/07/2014,ST,8
01/07/2014,ST,9
01/07/2014,ST,10
01/07/2014,ST,11
06/07/2014,ST,1
06/07/2014,ST,2
06/07/2014,ST,3
06/07/2014,ST,4
06/07/2014,ST,5
06/07/2014,ST,6
06/07/2014,ST,7
06/07/2014,ST,8
06/07/2014,ST,9
06/07/2014,ST,10
06/07/2014,ST,11
14/09/2014,ST,1
14/09/2014,ST,2
14/09/2014,ST,3
14/09/2014,ST,4
14/09/2014,ST,5
14/09/2014,ST,6
14/09/2014,ST,7
14/09/2014,ST,8
14/09/2014,ST,9
14/09/2014,ST,10
17/09/2014,ST,1
17/09/2014,ST,2
17/09/2014,ST,3
17/09/2014,ST,4
17/09/2014,ST,5
17/09/2014,ST,6
17/09/2014,ST,7
17/09/2014,ST,8
21/09/2014,ST,1
21/09/2014,ST,2
21/09/2014,ST,3
21/09/2014,ST,4
21/09/2014,ST,5
21/09/2014,ST,6
21/09/2014,ST,7
21/09/2014,ST,8
21/09/2014,ST,9
21/09/2014,ST,10
24/09/2014,ST,1
24/09/2014,ST,2
24/09/2014,ST,3
24/09/2014,ST,4
24/09/2014,ST,5
24/09/2014,ST,6
24/09/2014,ST,7
24/09/2014,ST,8
27/09/2014,ST,1
27/09/2014,ST,2
27/09/2014,ST,3
27/09/2014,ST,4
27/09/2014,ST,5
27/09/2014,ST,6
27/09/2014,ST,7
27/09/2014,ST,8
27/09/2014,ST,9
27/09/2014,ST,10
01/10/2014,ST,1
01/10/2014,ST,2
01/10/2014,ST,3
01/10/2014,ST,4
01/10/2014,ST,5
01/10/2014,ST,6
01/10/2014,ST,7
01/10/2014,ST,8
01/10/2014,ST,9
01/10/2014,ST,10
05/10/2014,ST,1
05/10/2014,ST,2
05/10/2014,ST,3
05/10/2014,ST,4
05/10/2014,ST,5
05/10/2014,ST,6
05/10/2014,ST,7
05/10/2014,ST,8
05/10/2014,ST,9
05/10/2014,ST,10
08/10/2014,ST,1
08/10/2014,ST,2
08/10/2014,ST,3
08/10/2014,ST,4
08/10/2014,ST,5
08/10/2014,ST,6
08/10/2014,ST,7
08/10/2014,ST,8
12/10/2014,ST,1
12/10/2014,ST,2
12/10/2014,ST,3
12/10/2014,ST,4
12/10/2014,ST,5
12/10/2014,ST,6
12/10/2014,ST,7
12/10/2014,ST,8
12/10/2014,ST,9
12/10/2014,ST,10
15/10/2014,ST,1
15/10/2014,ST,2
15/10/2014,ST,3
15/10/2014,ST,4
15/10/2014,ST,5
15/10/2014,ST,6
15/10/2014,ST,7
15/10/2014,ST,8
19/10/2014,HV,1
19/10/2014,HV,2
19/10/2014,HV,3
19/10/2014,HV,4
19/10/2014,HV,5
19/10/2014,HV,6
19/10/2014,HV,7
19/10/2014,HV,8
19/10/2014,HV,9
19/10/2014,HV,10
22/10/2014,HV,1
22/10/2014,HV,2
22/10/2014,HV,3
22/10/2014,HV,4
22/10/2014,HV,5
